nft_id,trade_price,floor_price,Accessories,Background,Body,Eyes,Hat,Mouth,Accessories_Background_freq,Accessories_Body_freq,Accessories_Eyes_freq,Accessories_Hat_freq,Accessories_Mouth_freq,Background_Body_freq,Background_Eyes_freq,Background_Hat_freq,Background_Mouth_freq,Body_Eyes_freq,Body_Hat_freq,Body_Mouth_freq,Eyes_Hat_freq,Eyes_Mouth_freq,Hat_Mouth_freq,Mouth_freq,Accessories_freq,Background_freq,Body_freq,Eyes_freq,Hat_freq
330,4.18,4.18,nan,Rose Quartz Pink,Blue,White Round Shades,Dreads,Happy,0.048,0.03,0.0427,0.0067,0.0967,0.0093,0.008,0.0033,0.0247,0.0107,0.0007,0.012,0.0007,0.0207,0.0027,0.226,0.4247,0.116,0.0633,0.0987,0.018
1346,8.17,8.17,nan,Spiced Orange,Chocolate,White Round Shades,Headphones,Happy,0.0527,0.0173,0.0427,0.022,0.0967,0.008,0.018,0.0053,0.0307,0.0067,0.0027,0.01,0.0013,0.0207,0.0107,0.226,0.4247,0.118,0.0433,0.0987,0.05
1346,4.33,4.33,nan,Spiced Orange,Chocolate,White Round Shades,Headphones,Happy,0.0527,0.0173,0.0427,0.022,0.0967,0.008,0.018,0.0053,0.0307,0.0067,0.0027,0.01,0.0013,0.0207,0.0107,0.226,0.4247,0.118,0.0433,0.0987,0.05
815,29.49,8.14,Red Bandana,Lavender Dusk Purple,Black,Gold Shades,Beret,Sad,0.0113,0.0253,0.0033,0.0013,0.0107,0.03,0.0033,0.0027,0.0147,0.0047,0.0033,0.0247,0.0013,0.0033,0.0007,0.118,0.092,0.1187,0.2333,0.02,0.0093
815,27.72,8.57,Red Bandana,Lavender Dusk Purple,Black,Gold Shades,Beret,Sad,0.0113,0.0253,0.0033,0.0013,0.0107,0.03,0.0033,0.0027,0.0147,0.0047,0.0033,0.0247,0.0013,0.0033,0.0007,0.118,0.092,0.1187,0.2333,0.02,0.0093
1159,9.73,8.14,Scarf,"Red, White, and Blue",Sable,Normal,Sobrero,Sad,0.0027,0.0073,0.0467,0.0067,0.0187,0.002,0.0013,0.0013,0.002,0.0193,0.0047,0.0073,0.016,0.0293,0.0067,0.118,0.1393,0.01,0.0633,0.2567,0.06
1159,11.16,8.95,Scarf,"Red, White, and Blue",Sable,Normal,Sobrero,Sad,0.0027,0.0073,0.0467,0.0067,0.0187,0.002,0.0013,0.0013,0.002,0.0193,0.0047,0.0073,0.016,0.0293,0.0067,0.118,0.1393,0.01,0.0633,0.2567,0.06
1159,12.44,8.54,Scarf,"Red, White, and Blue",Sable,Normal,Sobrero,Sad,0.0027,0.0073,0.0467,0.0067,0.0187,0.002,0.0013,0.0013,0.002,0.0193,0.0047,0.0073,0.016,0.0293,0.0067,0.118,0.1393,0.01,0.0633,0.2567,0.06
1159,4.16,3.4,Scarf,"Red, White, and Blue",Sable,Normal,Sobrero,Sad,0.0027,0.0073,0.0467,0.0067,0.0187,0.002,0.0013,0.0013,0.002,0.0193,0.0047,0.0073,0.016,0.0293,0.0067,0.118,0.1393,0.01,0.0633,0.2567,0.06
900,8.14,8.14,Red Bandana,Sunlit Gold,Black,Normal,No Hat,Sad,0.0147,0.0253,0.02,0.0307,0.0107,0.0313,0.0427,0.044,0.014,0.0613,0.0727,0.0247,0.0747,0.0293,0.0387,0.118,0.092,0.15,0.2333,0.2567,0.3147
900,3.83,3.83,Red Bandana,Sunlit Gold,Black,Normal,No Hat,Sad,0.0147,0.0253,0.02,0.0307,0.0107,0.0313,0.0427,0.044,0.014,0.0613,0.0727,0.0247,0.0747,0.0293,0.0387,0.118,0.092,0.15,0.2333,0.2567,0.3147
410,8.14,8.14,Wings,Lavender Dusk Purple,Tan,Normal,Afro,Surprised,0.0013,0.0033,0.0047,0.002,0.002,0.018,0.0353,0.006,0.0127,0.038,0.014,0.02,0.0173,0.03,0.008,0.1187,0.0193,0.1187,0.1553,0.2567,0.07
410,8.39,8.39,Wings,Lavender Dusk Purple,Tan,Normal,Afro,Surprised,0.0013,0.0033,0.0047,0.002,0.002,0.018,0.0353,0.006,0.0127,0.038,0.014,0.02,0.0173,0.03,0.008,0.1187,0.0193,0.1187,0.1553,0.2567,0.07
410,1.5,1.5,Wings,Lavender Dusk Purple,Tan,Normal,Afro,Surprised,0.0013,0.0033,0.0047,0.002,0.002,0.018,0.0353,0.006,0.0127,0.038,0.014,0.02,0.0173,0.03,0.008,0.1187,0.0193,0.1187,0.1553,0.2567,0.07
834,8.14,8.14,Tie,Stormcloud Grey,Black,Normal,No Hat,Happy,0.0133,0.0167,0.0187,0.024,0.01,0.0287,0.0287,0.0367,0.022,0.0613,0.0727,0.0613,0.0747,0.0553,0.0707,0.226,0.0627,0.1187,0.2333,0.2567,0.3147
934,8.14,8.14,Neck Tattoo,Seashell Pink,Lilac,Nouns Glasses,No Hat,Sad,0.0047,0.002,0.0027,0.0067,0.0047,0.006,0.004,0.0373,0.0147,0.002,0.016,0.0073,0.012,0.0053,0.0387,0.118,0.03,0.118,0.0433,0.0393,0.3147
934,8.91,8.54,Neck Tattoo,Seashell Pink,Lilac,Nouns Glasses,No Hat,Sad,0.0047,0.002,0.0027,0.0067,0.0047,0.006,0.004,0.0373,0.0147,0.002,0.016,0.0073,0.012,0.0053,0.0387,0.118,0.03,0.118,0.0433,0.0393,0.3147
934,6.55,6.55,Neck Tattoo,Seashell Pink,Lilac,Nouns Glasses,No Hat,Sad,0.0047,0.002,0.0027,0.0067,0.0047,0.006,0.004,0.0373,0.0147,0.002,0.016,0.0073,0.012,0.0053,0.0387,0.118,0.03,0.118,0.0433,0.0393,0.3147
934,3.1,3.1,Neck Tattoo,Seashell Pink,Lilac,Nouns Glasses,No Hat,Sad,0.0047,0.002,0.0027,0.0067,0.0047,0.006,0.004,0.0373,0.0147,0.002,0.016,0.0073,0.012,0.0053,0.0387,0.118,0.03,0.118,0.0433,0.0393,0.3147
1481,8.14,8.14,Scarf,Seashell Pink,Black - Overweight,White Shades,Dreads,Surprised,0.022,0.0273,0.0187,0.0047,0.0133,0.0253,0.02,0.0027,0.0113,0.0347,0.0053,0.0213,0.0027,0.0167,0.002,0.1187,0.1393,0.118,0.1773,0.148,0.018
1269,8.21,8.21,Scarf,Sunlit Gold,Black - Overweight,Normal,Cylinder,Happy,0.0193,0.0273,0.0467,0.0087,0.0353,0.032,0.0427,0.0067,0.04,0.0393,0.0067,0.042,0.012,0.0553,0.0087,0.226,0.1393,0.15,0.1773,0.2567,0.0493
984,8.21,8.21,nan,Seashell Pink,Cream,White Shades,Cowboy,Toothy,0.046,0.0327,0.066,0.0253,0.074,0.008,0.02,0.004,0.0247,0.01,0.0067,0.018,0.0073,0.03,0.0093,0.1853,0.4247,0.118,0.0787,0.148,0.058
984,1.62,1.54,nan,Seashell Pink,Cream,White Shades,Cowboy,Toothy,0.046,0.0327,0.066,0.0253,0.074,0.008,0.02,0.004,0.0247,0.01,0.0067,0.018,0.0073,0.03,0.0093,0.1853,0.4247,0.118,0.0787,0.148,0.058
984,1.66,1.66,nan,Seashell Pink,Cream,White Shades,Cowboy,Toothy,0.046,0.0327,0.066,0.0253,0.074,0.008,0.02,0.004,0.0247,0.01,0.0067,0.018,0.0073,0.03,0.0093,0.1853,0.4247,0.118,0.0787,0.148,0.058
1320,8.21,8.21,Scarf,Forest Moss Green,Blue,Normal,Headphones,Toothy,0.0233,0.006,0.0467,0.0067,0.0367,0.0093,0.034,0.0073,0.0253,0.0133,0.0027,0.0113,0.0153,0.0513,0.0087,0.1853,0.1393,0.1247,0.0633,0.2567,0.05
1412,8.24,8.24,nan,Rose Quartz Pink,Black,Drowsy,Cowboy,Happy,0.048,0.0873,0.0233,0.0253,0.0967,0.032,0.006,0.0067,0.0247,0.0087,0.0133,0.0613,0.002,0.01,0.0127,0.226,0.4247,0.116,0.2333,0.0407,0.058
1412,3.67,3.67,nan,Rose Quartz Pink,Black,Drowsy,Cowboy,Happy,0.048,0.0873,0.0233,0.0253,0.0967,0.032,0.006,0.0067,0.0247,0.0087,0.0133,0.0613,0.002,0.01,0.0127,0.226,0.4247,0.116,0.2333,0.0407,0.058
1319,8.24,8.24,nan,Stormcloud Grey,Tan,White Round Shades,No Hat,Vampire,0.0467,0.066,0.0427,0.132,0.026,0.0167,0.016,0.0367,0.0093,0.0207,0.048,0.012,0.0327,0.0047,0.0207,0.0593,0.4247,0.1187,0.1553,0.0987,0.3147
1319,8.57,8.57,nan,Stormcloud Grey,Tan,White Round Shades,No Hat,Vampire,0.0467,0.066,0.0427,0.132,0.026,0.0167,0.016,0.0367,0.0093,0.0207,0.048,0.012,0.0327,0.0047,0.0207,0.0593,0.4247,0.1187,0.1553,0.0987,0.3147
